season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2022,2021-10-12,0,0,post,,Tampa Bay Lightning,Pittsburgh Penguins,TBL,PIT,1567.69993613098,1539.1082730536,0.611212075171039,0.388787924828961,0.230501147750293,1.31192061676874,0.918272917318094,2,6,1561.09623835838,1545.7119708262,95,35,65
2022,2021-10-12,0,0,post,,Vegas Golden Knights,Seattle Kraken,VEG,SEA,1560.47095988184,1489.80412134286,0.666992582153379,0.333007417846621,0.223452838662742,1.40841823345553,0.815099517680728,4,3,1561.98959631698,1488.28548490772,72,37,54
2022,2021-10-13,0,0,post,,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,1530.74452508667,1503.67014543437,0.609134549511055,0.390865450488945,0.230758204912302,1.30849598196361,0.922342744837723,2,1,1532.56354597565,1501.85112454539,63,67,65
2022,2021-10-13,0,0,post,,Washington Capitals,New York Rangers,WSH,NYR,1531.92409896931,1511.14905943742,0.600467613368309,0.399532386631691,0.2318275799474,1.29362936011652,0.938377196752047,5,1,1535.93673010219,1507.13642830454,68,80,74
2022,2021-10-13,0,0,post,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,1451.04455846372,1507.93883586214,0.490079639310323,0.509920360689677,0.242866633535293,1.10388837414032,1.1387555856975,4,1,1455.77007156903,1503.21332275683,16,51,33
2022,2021-10-13,0,0,post,SO,Edmonton Oilers,Vancouver Canucks,EDM,VAN,1516.16030784043,1481.60436081374,0.6193389040121,0.3806610959879,0.229492627527186,1.32606629164419,0.903504012600327,3,2,1517.92563023494,1479.83903841923,38,70,54
2022,2021-10-13,0,0,post,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,1565.2976795296,1482.37329638609,0.682476065493051,0.317523934506949,0.221428601894494,1.4352915383434,0.786233202670295,4,2,1567.56672771574,1480.10424819995,70,30,50
2022,2021-10-14,0,0,post,,Columbus Blue Jackets,Arizona Coyotes,CBJ,ARI,1464.62996195965,1484.78129993772,0.542850306848751,0.457149693151249,0.23885925471756,1.19489504869797,1.04396420601959,8,2,1470.0445194452,1479.36674245217,13,53,33
2022,2021-10-14,0,0,post,OT,Florida Panthers,Pittsburgh Penguins,FLA,PIT,1531.70951122805,1545.7119708262,0.551620045394626,0.448379954605374,0.237793520804353,1.20986193885296,1.02793158195139,5,4,1533.83728512033,1543.58419693392,86,55,70
2022,2021-10-14,0,0,post,,Carolina Hurricanes,New York Islanders,CAR,NYI,1543.63575877862,1540.99159967922,0.575186512947567,0.424813487052433,0.234924750322577,1.25017222827459,0.984752522047987,6,3,1547.46109818287,1537.16626027497,89,51,70
2022,2021-10-14,0,0,post,,Buffalo Sabres,Montreal Canadiens,BUF,MTL,1448.10618132612,1501.85112454539,0.494610802189849,0.505389197810151,0.243419992554199,1.11224343914762,1.13117655340658,5,1,1453.36681476938,1496.59049110213,13,50,31
2022,2021-10-14,0,0,post,OT,New York Rangers,Dallas Stars,NYR,DAL,1507.13642830454,1504.68660347702,0.574913144384572,0.425086855615428,0.234958101878111,1.24970388949788,0.985254212380231,2,3,1504.28739438113,1507.53563740043,48,74,61
2022,2021-10-14,0,0,post,,Ottawa Senators,Toronto Maple Leafs,OTT,TOR,1470.08932510132,1532.56354597565,0.482055862890035,0.517944137109965,0.241888300150385,1.08939635267846,1.15249194747193,3,2,1472.60568576951,1530.04718530746,41,52,46
2022,2021-10-14,0,0,post,OT,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,1444.89773099071,1561.09623835838,0.405869035139483,0.594130964860517,0.232606658529975,0.949936888744361,1.28266976978561,6,7,1442.99917856303,1562.99479078606,41,17,29
2022,2021-10-14,0,0,post,,Nashville Predators,Seattle Kraken,NSH,SEA,1513.00278965036,1488.28548490772,0.605899309545906,0.394100690454094,0.231157936871119,1.30289812161666,0.928259815254455,3,4,1509.9663526302,1491.32192192788,41,72,56
2022,2021-10-14,0,0,post,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,1467.62465077722,1561.98959631698,0.436498475633133,0.563501524366867,0.236348531145837,1.00617970884882,1.23016882229702,6,2,1473.60897390829,1556.00527318591,58,30,44
2022,2021-10-15,0,0,post,SO,Philadelphia Flyers,Vancouver Canucks,PHI,VAN,1491.62572351588,1479.83903841923,0.587992526763317,0.412007473236683,0.233359423493409,1.27213087995612,0.961228543537286,4,5,1488.69818978572,1482.76657214939,23,64,43
2022,2021-10-15,0,0,post,OT,New Jersey Devils,Chicago Blackhawks,NJD,CHI,1456.39070938115,1480.10424819995,0.537757242540489,0.462242757459511,0.239478158795424,1.1862115295539,1.05326662924152,4,3,1458.59452837788,1477.90042920322,9,38,23
2022,2021-10-15,0,0,post,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1455.77007156903,1525.27321264935,0.471962167508677,0.528037832491323,0.240659741751351,1.07100178341966,1.16965795833169,1,2,1453.51253821143,1527.53074600695,27,56,41
2022,2021-10-16,0,0,post,SO,Buffalo Sabres,Arizona Coyotes,BUF,ARI,1453.36681476938,1479.36674245217,0.534484048304631,0.465515951695369,0.239875979151892,1.18063419133301,1.05924178781888,2,1,1455.58868596793,1477.14487125362,8,44,26
